Word,Freq,In Ontology,Upper-Pattern,URI,Notes
Floor,3213,x,Building-artifact-part,,
Office,1670,x,Room,,
Ground,1260,-,-,,Distinction between Ground Level (as in Ground Floor) and the outside grounds (e.g. yard)
First,953,-,-,,
Room,712,x,Interior-Building-part,,
Second,655,-,-,,
Toilet,411,x,building-fixture,,
Store,253,x,Sales-corporation,,is this concept good for us?
Meeting,275,x,Meeting (Human-Contact),,
Lobby,195,-,-,,
Cupboard,173,-,-,,
Third,154,-,-,,
Corridor,152,-,-,,
Riser,150,-,-,,
2,145,-,-,,
Laboratory,139,x,Laboritory (Organization),,
Lift,125,-,-,,
Plan,120,x,business-document,,ambigous… not as a floor plan etc…
Corridor,118,-,-,,
Riser,113,-,-,,
Open,106,x,Change-Position,,
Roof,100,x,Roof (Building-artifact-part),,
Level,168,-,-,,"this is ambigous, it could also be considered as Floor (e.g Floor 1 or Level 1)?"
Stair,165,x,Stair (Building-artifact-part),,
1,96,-,-,,Numbers can be defined as self? no need for an ontology
Female,149,-,Female,http://www.mindswap.org/2003/owl/swint/person,No female/male class but property gender exists
Area,89,-,-,,"There exists a property named area (sub-property of size), but this is ambigous like Level and Ground"
Lobby,85,-,-,,
Landing,78,-,-,,
Male,131,-,Male,http://www.mindswap.org/2003/owl/swint/person,
4,76,-,-,,No female/male class but property gender exists
3,73,-,-,,
Kitchen,103,x,Room,,
Cleaners,60,-,-,,
Accessible,102,-,-,,
Plant,86,x,Plant (Natural Object),,Does this mean plant as in flower or plant as in architecture
North,56,x,Compass-Point,,
South,51,x,Compass-Point,,
Fourth,44,-,-,,
East,44,x,Compass-Point,,
Basement,42,x,Interior-Building-part,,
Staircase,38,-,-,,There exists a concept stairway not staircase…these mean the same
Meeting,34,x,Meeting (Human-Contact),,
West,34,x,Compass-Point,,
Central,32,-,-,,
Photocopier,32,-,-,,there exists a concept photocopy-machine
Stair-2,31,x,Stair (Building-artifact-part),,stair together with a number… so it would result to be something like <Building-artifact-part><Symbol><Number>
Escape,31,x,Change-Location,,"but is this concept good, for example fire escape?"
Entrance,31,-,-,,
Cupboard-2,30,-,-,,
Shower,29,x,building-fixture,,
Lift,29,-,,,
Central,25,-,,,
Quiet,25,-,-,,
Out,24,-,-,,
Stairs,24,x,x,,We have a concept <Stair>
Entrance,23,-,-,,
007,23,-,-,,
004,23,-,-,,
01,23,-,-,,
Elec,23,-,-,,
Store,23,x,Sales-corporation,,is this concept good for us?
103,22,-,-,,
Break,22,x,break-down,,is this concept good for us?
008,22,-,-,,
006,22,-,-,,
Electrical,21,-,-,,Not general
1Ground,21,-,-,,
Post,21,x,artifact-part,,
Circulation,21,,,,
107,21,,,,
105,21,,,,
101,21,,,,
005,21,,,,
003,21,,,,
Reception,21,,,,
5,21,,,,
Workshop,20,,,,
and,20,,,,
Stairs,20,,,,
Duct,20,,,,
104,20,,,,
102,20,,,,
002,20,,,,
001,20,,,,
111,19,,,,
109,19,,,,
106,19,,,,
009,19,,,,
Staff,19,,,,
114,18,,,,
110,18,,,,
108,18,,,,
015,18,,,,
Store-2,18,,,,
Cupboard-3,17,,,,
207,17,,,,
Comms,17,,,,
113,17,,,,
Cleaner,17,,,,
014,17,,,,
012,17,,,,
010,17,,,,
Print,16,,,,
Roof,16,,,,
206,16,,,,
203,16,,,,
202,16,,,,
112,16,,,,
017,16,,,,
016,16,,,,
013,16,,,,
011,16,,,,
Cupboard-1,15,,,,
Toilet,15,,,,
208,15,,,,
205,15,,,,
201,15,,,,
Mezzanine,15,,,,
018,15,,,,
1,15,,,,
6,15,,,,
Service,14,,,,
213,14,,,,
212,14,,,,
211,14,,,,
210,14,,,,
209,14,,,,
204,14,,,,
Open,14,,,,
Communications,14,,,,
118,14,,,,
115,14,,,,
8,14,,,,
Duct,13,,,,
Space,13,,,,
West,13,,,,
General,13,,,,
214,13,,,,
North,13,,,,
Staircase,13,,,,
117,13,,,,
02,13,,,,
C01,13,,,,
Reception,13,,,,
Void,12,,,,
Pantry,12,,,,
South,12,,,,
216,12,,,,
215,12,,,,
121,12,,,,
119,12,,,,
Post,12,,,,
019,12,,,,
Landing,12,,,,
&,12,,,,
Lift-,11,,,,
Archive,11,,,,
219,11,,,,
218,11,,,,
217,11,,,,
120,11,,,,
116,11,,,,
Water,11,,,,
IT,11,,,,
Conference,11,,,,
Fifth,11,,,,
032,11,,,,
Origins,11,,,,
Main,11,,,,
Tank,11,,,,
7,11,,,,
Stair-1,10,,,,
room,10,,,,
Training,10,,,,
to,10,,,,
221,10,,,,
220,10,,,,
Main,10,,,,
Library,10,,,,
Equipment,10,,,,
025,10,,,,
022,10,,,,
C02,10,,,,
Store-1,10,,,,
Third,10,,,,
Photocopier,10,,,,
Wing,9,,,,
1Second,9,,,,
Toilet-East,9,,,,
Storage,9,,,,
Lobby-Female,9,,,,
Warehouse,9,,,,
Resource,9,,,,
Audio,9,,,,
122,9,,,,
Lab,9,,,,
1First,9,,,,
Prep,9,,,,
Point,9,,,,
024,9,,,,
023,9,,,,
020,9,,,,
03,9,,,,
Cleaner,9,,,,
Comms,9,,,,
OU,8,,,,
Unisex,8,,,,
Core,8,,,,
Corridor-2,8,,,,
Staff,8,,,,
Tea,8,,,,
232,8,,,,
226,8,,,,
222,8,,,,
Boiler,8,,,,
Services,8,,,,
126,8,,,,
125,8,,,,
Remove,8,,,,
Tower,8,,,,
033,8,,,,
031,8,,,,
030,8,,,,
026,8,,,,
021,8,,,,
Goods,8,,,,
Lecture,7,,,,
Motor,7,,,,
Ramp,7,,,,
East,7,,,,
307,7,,,,
304,7,,,,
301,7,,,,
Air,7,,,,
Changing,7,,,,
Library,7,,,,
Sub,7,,,,
235,7,,,,
234,7,,,,
233,7,,,,
225,7,,,,
223,7,,,,
Electrical,7,,,,
Refectory,7,,,,
127,7,,,,
124,7,,,,
123,7,,,,
Refuse,7,,,,
Shop,7,,,,
Bar,7,,,,
028,7,,,,
027,7,,,,
Switch,7,,,,
Quiet,7,,,,
Basement,7,,,,
Station,7,,,,
0,7,,,,
Administration,6,,,,
Faculty,6,,,,
004-,6,,,,
003-,6,,,,
Unisex-Male,6,,,,
001-,6,,,,
Director,6,,,,
Bar,6,,,,
Stair-1First,6,,,,
Room-2,6,,,,
Mech,6,,,,
312,6,,,,
308,6,,,,
306,6,,,,
305,6,,,,
303,6,,,,
302,6,,,,
Service,6,,,,
Cleaners,6,,,,
241,6,,,,
240,6,,,,
239,6,,,,
238,6,,,,
237,6,,,,
236,6,,,,
230,6,,,,
224,6,,,,
Computer,6,,,,
East/West,6,,,,
Lock,6,,,,
Tutor,6,,,,
148,6,,,,
140,6,,,,
139,6,,,,
138,6,,,,
137,6,,,,
136,6,,,,
135,6,,,,
134,6,,,,
133,6,,,,
132,6,,,,
UnisexToilet,6,,,,
NE,6,,,,
Theatre,6,,,,
2nd,6,,,,
Video,6,,,,
Plantroom,6,,,,
046,6,,,,
042,6,,,,
041,6,,,,
040,6,,,,
039,6,,,,
038,6,,,,
037,6,,,,
034,6,,,,
029,6,,,,
Secure,6,,,,
Estates,6,,,,
10,6,,,,
Store-3,6,,,,
Servery,6,,,,
Lobby-Male,6,,,,
2,6,,,,
9,6,,,,
008-,5,,,,
007-,5,,,,
006-,5,,,,
005-,5,,,,
002-,5,,,,
Cold,5,,,,
Loft,5,,,,
Bank,5,,,,
Seminar,5,,,,
Stair-1Ground,5,,,,
313,5,,,,
309,5,,,,
Breakout,5,,,,
Ladies,5,,,,
corridor,5,,,,
252,5,,,,
249,5,,,,
248,5,,,,
247,5,,,,
246,5,,,,
245,5,,,,
244,5,,,,
243,5,,,,
242,5,,,,
228,5,,,,
227,5,,,,
Reprographic,5,,,,
Porters,5,,,,
Assessment,5,,,,
Secondt,5,,,,
150,5,,,,
149,5,,,,
147,5,,,,
145,5,,,,
144,5,,,,
131,5,,,,
130,5,,,,
NW,5,,,,
Foyer,5,,,,
061,5,,,,
059,5,,,,
054,5,,,,
053,5,,,,
051,5,,,,
050,5,,,,
049,5,,,,
047,5,,,,
044,5,,,,
036,5,,,,
035,5,,,,
06,5,,,,
05,5,,,,
04,5,,,,
Access,5,,,,
C001,5,,,,
Cupboard-1Second,5,,,,
Stairwell,5,,,,
Shelving,4,,,,
Office-2,4,,,,
Link,4,,,,
Studio,4,,,,
Toilet-,4,,,,
Block,4,,,,
Stair-3,4,,,,
Copy,4,,,,
Waste,4,,,,
Hospitality,4,,,,
Toilet-West,4,,,,
101-,4,,,,
Escape,4,,,,
Kitchenette,4,,,,
321,4,,,,
320,4,,,,
318,4,,,,
317,4,,,,
316,4,,,,
315,4,,,,
314,4,,,,
310,4,,,,
Cloak,4,,,,
Stair-1Second,4,,,,
Shower,4,,,,
Preparation,4,,,,
254,4,,,,
253,4,,,,
251,4,,,,
250,4,,,,
Bridge,4,,,,
231,4,,,,
Master,4,,,,
Machine,4,,,,
229,4,,,,
Link,4,,,,
Common,4,,,,
(2),4,,,,
Visual,4,,,,
ZZDELETE,4,,,,
152,4,,,,
151,4,,,,
146,4,,,,
143,4,,,,
142,4,,,,
141,4,,,,
Spiral,4,,,,
129,4,,,,
128,4,,,,
Lee,4,,,,
Rear,4,,,,
Waste,4,,,,
Control,4,,,,
066,4,,,,
060,4,,,,
058,4,,,,
057,4,,,,
056,4,,,,
055,4,,,,
052,4,,,,
048,4,,,,
045,4,,,,
043,4,,,,
Porters,4,,,,
01-,4,,,,
08,4,,,,
C03,4,,,,
Store-4,4,,,,
Tea,4,,,,
Tape,4,,,,
Cellar,4,,,,
Server,4,,,,
Pod,4,,,,
Lockers,4,,,,
Rest,4,,,,
3,4,,,,
C005,4,,,,
TLT,4,,,,
Cupboard-1Third,3,,,,
Waiting,3,,,,
009-,3,,,,
General,3,,,,
IT,3,,,,
Exit,3,,,,
Piano,3,,,,
Fabric,3,,,,
Passenger,3,,,,
Toilets,3,,,,
CD,3,,,,
Hall,3,,,,
Photocopiers,3,,,,
Interview,3,,,,
Rooms,3,,,,
Common,3,,,,
Foyer,3,,,,
Work,3,,,,
Chemical,3,,,,
Bed,3,,,,
Compact,3,,,,
Locker,3,,,,
Pump,3,,,,
Louvre,3,,,,
Photocopy,3,,,,
Boiler,3,,,,
03,3,,,,
02,3,,,,
Asst,3,,,,
Westside,3,,,,
1Third,3,,,,
Stair-Lift,3,,,,
Photocopy,3,,,,
Court,3,,,,
104-,3,,,,
Room-3,3,,,,
Lobby-Unisex-Male,3,,,,
Eastside,3,,,,
327,3,,,,
326,3,,,,
325,3,,,,
324,3,,,,
323,3,,,,
322,3,,,,
319,3,,,,
311,3,,,,
Waiting,3,,,,
Academics,3,,,,
ZZDelete,3,,,,
255,3,,,,
Store-1Ground,3,,,,
Riser-3,3,,,,
Riser-2,3,,,,
Riser-1,3,,,,
Jenny,3,,,,
Cupboard-1First,3,,,,
Lounge,3,,,,
Dining,3,,,,
Fourth,3,,,,
Disused,3,,,,
Fire,3,,,,
Tank,3,,,,
Centre,3,,,,
Infrastructure,3,,,,
Facility,3,,,,
153,3,,,,
SE,3,,,,
RT,3,,,,
Secretary,3,,,,
Furniture,3,,,,
FL,3,,,,
Unit,3,,,,
Referees,3,,,,
Filing-Copy,3,,,,
Beale,3,,,,
069,3,,,,
065,3,,,,
064,3,,,,
063,3,,,,
062,3,,,,
07,3,,,,
Circulation,3,,,,
level,3,,,,
Store-1First,3,,,,
Sound,3,,,,
Collection,3,,,,
Cupboard-1Ground,3,,,,
Science,3,,,,
floor,3,,,,
010-,3,,,,
Intake,3,,,,
Switchroom,3,,,,
C004,3,,,,
C003,3,,,,
Ramped,3,,,,
Recycling,3,,,,
R,3,,,,
E,3,,,,
Atrium,2,,,,
Estates,2,,,,
Manager,2,,,,
Beverage,2,,,,
Stores,2,,,,
009a,2,,,,
PVC,2,,,,
Human-Computer,2,,,,
006a,2,,,,
Flor,2,,,,
Office-3,2,,,,
Room-1First,2,,,,
Conditioning,2,,,,
Catering,2,,,,
Crushing,2,,,,
Conference,2,,,,
11First,2,,,,
Oil,2,,,,
Canteen,2,,,,
Drying,2,,,,
Office-1Ground,2,,,,
Front,2,,,,
Communications,2,,,,
Bin,2,,,,
Corridor-5,2,,,,
Corridor-4,2,,,,
Corridor-1,2,,,,
G09,2,,,,
G08,2,,,,
G07,2,,,,
G06,2,,,,
G05,2,,,,
G04,2,,,,
G03,2,,,,
G02,2,,,,
G01,2,,,,
Vending,2,,,,
Packing,2,,,,
Corridor-1First,2,,,,
Stair-2,2,,,,
MaleToilet,2,,,,
Bay,2,,,,
Disabled,2,,,,
Unisex,2,,,,
Assistant,2,,,,
Mess,2,,,,
01,2,,,,
Toliet,2,,,,
Lobby-Toilet,2,,,,
103-,2,,,,
101a,2,,,,
ICT,2,,,,
102-,2,,,,
Reading,2,,,,
!st,2,,,,
001,2,,,,
E015,2,,,,
331,2,,,,
330,2,,,,
second,2,,,,
329,2,,,,
Balance,2,,,,
Toddler,2,,,,
271a,2,,,,
F16,2,,,,
F15,2,,,,
F14,2,,,,
F13,2,,,,
F12,2,,,,
F11,2,,,,
Rooftop,2,,,,
ENT,2,,,,
Wash,2,,,,
Adjacent,2,,,,
Student,2,,,,
Team,2,,,,
Social,2,,,,
Private,2,,,,
Store-1Third,2,,,,
Gardeners,2,,,,
Senior,2,,,,
201a,2,,,,
Lounge,2,,,,
Kitchen-Fourth,2,,,,
Sample,2,,,,
259,2,,,,
N2023a,2,,,,
257,2,,,,
256,2,,,,
Racking,2,,,,
Room-1Ground,2,,,,
Distribution,2,,,,
Social,2,,,,
of,2,,,,
Maths,2,,,,
041a,2,,,,
in,2,,,,
040-,2,,,,
Journals,2,,,,
Booth,2,,,,
Reference,2,,,,
Cleaner-2,2,,,,
Cleaner-1,2,,,,
Restaurant,2,,,,
Store-1Second,2,,,,
House,2,,,,
Squash,2,,,,
1Basement,2,,,,
changing,2,,,,
Coffee,2,,,,
adjacent,2,,,,
St,2,,,,
Rest,2,,,,
Refectory,2,,,,
SW,2,,,,
147a,2,,,,
Kitchen-Ground,2,,,,
100,2,,,,
Suite,2,,,,
252a,2,,,,
Large,2,,,,
Lift-2,2,,,,
Welfare,2,,,,
032a,2,,,,
Maintenance,2,,,,
Science,2,,,,
Squash,2,,,,
Play,2,,,,
External,2,,,,
N0020,2,,,,
A002,2,,,,
A001,2,,,,
E115d,2,,,,
Furniture,2,,,,
Education,2,,,,
Print,2,,,,
LadiesToilet,2,,,,
LRC,2,,,,
Kitchen-Second,2,,,,
Smoking,2,,,,
Garage,2,,,,
071,2,,,,
070,2,,,,
068,2,,,,
067,2,,,,
Annexe,2,,,,
2a,2,,,,
33,2,,,,
1st,2,,,,
20,2,,,,
16,2,,,,
15,2,,,,
14,2,,,,
13,2,,,,
11,2,,,,
1-,2,,,,
026-,2,,,,
024-,2,,,,
023-,2,,,,
Flammable,2,,,,
Stair-1Third,2,,,,
022-,2,,,,
Dry,2,,,,
021-,2,,,,
020-,2,,,,
Research,2,,,,
Air,2,,,,
Editing,2,,,,
N1001,2,,,,
E211c,2,,,,
stairs,2,,,,
Corridor-1Ground,2,,,,
Testing,2,,,,
Catering,2,,,,
External,2,,,,
Baby,2,,,,
Packing,2,,,,
Class,2,,,,
Health,2,,,,
interaction,2,,,,
019-,2,,,,
018-,2,,,,
Switch,2,,,,
Technical,2,,,,
017-,2,,,,
016-,2,,,,
015-,2,,,,
014-,2,,,,
013-,2,,,,
012-,2,,,,
011-,2,,,,
under,2,,,,
N2047,2,,,,
Sleep,2,,,,
S,2,,,,
B,2,,,,
4,2,,,,
C002,2,,,,
N2001,2,,,,
Stairwell,2,,,,
Machinery,2,,,,
Containment,2,,,,
Arts,2,,,,
Appointment,2,,,,
T,2,,,,
A,2,,,,
Mulberry,2,,,,
Security,2,,,,
Cafe,1,,,,
IT-Support,1,,,,
Ion,1,,,,
Lobby-Unisex,1,,,,
Cooper,1,,,,
101e-,1,,,,
S2030a,1,,,,
Services,1,,,,
Cupboard-1FirstFloor,1,,,,
Childrens,1,,,,
101d-,1,,,,
039-Lobby,1,,,,
Gravimeter,1,,,,
101c-,1,,,,
In-Out,1,,,,
Nu022,1,,,,
Nu020,1,,,,
101b-,1,,,,
Nu293a,1,,,,
Intake,1,,,,
Nu018,1,,,,
Nu017,1,,,,
Nu016,1,,,,
Nu015,1,,,,
Nu014,1,,,,
Nu013,1,,,,
Nu012,1,,,,
L7-323,1,,,,
Nu011,1,,,,
L7-322,1,,,,
Nu010,1,,,,
L7-321,1,,,,
101a-,1,,,,
L7-320,1,,,,
Unit,1,,,,
Nu009,1,,,,
L7-319,1,,,,
Nu008,1,,,,
L7-318,1,,,,
Nu007,1,,,,
Macerator,1,,,,
Nu006,1,,,,
L7-317,1,,,,
Nu005,1,,,,
L7-316,1,,,,
L7-315,1,,,,
Nu004,1,,,,
L7-314,1,,,,
Nu003,1,,,,
Nu002,1,,,,
L7-313,1,,,,
Nu001,1,,,,
L7-312,1,,,,
L7-311,1,,,,
L7-310,1,,,,
Printing,1,,,,
Kitchen-Third,1,,,,
227d,1,,,,
227c,1,,,,
227b,1,,,,
227a,1,,,,
Pine,1,,,,
L7-309,1,,,,
102a-Kitchen,1,,,,
L7-308,1,,,,
L7-307,1,,,,
L7-306,1,,,,
L7-305,1,,,,
L7-304,1,,,,
408-Office,1,,,,
L7-303,1,,,,
L7-302,1,,,,
L7-301,1,,,,
102/103,1,,,,
119-,1,,,,
Poison,1,,,,
Regional,1,,,,
Projector,1,,,,
226a,1,,,,
008a,1,,,,
Communication,1,,,,
Corridor-1Basement,1,,,,
118-Kitchen,1,,,,
410-Office,1,,,,
117-,1,,,,
Shared,1,,,,
006c,1,,,,
006b,1,,,,
Advisers,1,,,,
Language,1,,,,
?????,1,,,,
005b,1,,,,
Office-1,1,,,,
005a,1,,,,
Lending,1,,,,
Advertisement,1,,,,
005N,1,,,,
N1002a,1,,,,
Moter,1,,,,
N1001e,1,,,,
N1001d,1,,,,
N1001c,1,,,,
N1001b,1,,,,
N1001a,1,,,,
003b,1,,,,
003a,1,,,,
113-,1,,,,
037-Kitchen,1,,,,
F9,1,,,,
Games,1,,,,
F5,1,,,,
112-,1,,,,
F4,1,,,,
F3,1,,,,
Darkroom,1,,,,
Frozen,1,,,,
F2,1,,,,
R2-06,1,,,,
F1,1,,,,
R2-04,1,,,,
